key	ru	en
finix_4_0	Воооу, похоже у нас новенький!	Wooooh, looks like we have a new one!
finix_4_1	Хм, выглядишь не так, как наши…	Hmm, you don't look like ours...
finix_4_2	Откуда ты?	Where are you from?
finix_4_3	Конечно, он же староста Рифа!	Of course, he is the headman of the Reef!
finix_4_4	Эх, с каждым днём становится все холоднее и холоднее.	Eh, it's getting colder and colder every day.
finix_4_5	А звезда…	And the star...
finix_4_6	Ладно, не парься на счёт этого.	Okay, don't worry about it.
finix_4_7	Мы уже все давно обречены замёрзнуть тут.	We've all been doomed to freeze here for a long time now.
finix_4_8	ЧТО ТЫ…	WHAT DID YOU...
finix_4_9	Это было так внезапно.	It was so sudden.
finix_4_10	Но настолько тепло, что я даже не помню последнего такого теплого объятия.	But it’s so warm that I don’t even remember the last such warm hug.
finix_4_11	Слушай, а может ты попробуешь растопить эту призму?	Listen, maybe you should try melting this prism?
finix_5_0	Хм, видимо не достаточно.	Hmm, apparently not enough.
finix_5_1	Так, есть идейка.	Okay, I have an idea.
finix_5_2	Недавно в округе я заметила несколько кристаллов.	Recently I noticed several crystals in the area.
finix_5_3	Может если растопить их, то призма поддастся.	Maybe if I melt them, the prism will give in.
finix_5_4	Ледяные кристаллы у нас не редкость.	Ice crystals are not uncommon here.
finix_5_5	Они начали появляться после того, как звезда начала остывать.	They began to appear after the star began to cool.
finix_5_6	Но это было еще до моего рождения, поэтому я живу с ними всю жизнь.	But this was before I was born, so I live with them all my life.
finix_5_7	Мне не привыкать.	I'm used to it.
finix_5_8	Раз ты умеешь так хорошо согревать, может быть ты сможешь растопить кристаллы?	Since you can warm things up so well, maybe you can melt crystals?
finix_5_9	Отлично! Я примерно помню расположение кристаллов, поэтому держи ориентиры.	Excellent! I roughly remember the location of the crystals, so here are the landmarks.
finix_5_10	Удачи!	Good luck!
finix_6_0	О, а вот и ты!	Oh, there you are!
finix_6_1	Призма явно стала ярче.	The prism has clearly become brighter.
finix_6_2	Я попыталась согреть её, по твоему примеру, но ничего не вышло.	I tried to warm her up, following your example, but nothing worked.
finix_6_3	Давай попробуем вместе.	Let's try it together.
finix_6_4	Ладно, это безнадёжно.	Okay, this is hopeless.
finix_6_5	Одни мы точно не справимся.	We definitely can't handle it alone.
finix_7_0	Мы с тобой сейчас на среднем уровне.	You and I are now at an average level.
finix_7_1	Тут жило большинство, пока не стало слишком холодно.	Most people lived here until it got too cold.
finix_7_2	Некоторые остались ещё, давай поможем им выбраться и попросим согреть призму!	There are still some left, let's help them get out and ask them to warm up the prism!
finix_7_3	И еще…	And one more thing…
finix_7_4	Спасибо большое за то объятие.	Thank you so much for that hug.
finix_7_5	Всё, я молчу…	That's it, I'm keeping quiet...
