key	ru	en
jelica_13_0	Ох, бедные детки… бедные мои детки.	Oh, my poor children... my poor children.
jelica_13_1	Дитя!	Child!
jelica_13_2	Что ты здесь забыло? Неужели заблудилось?	What are you doing here? Are you lost?
jelica_13_3	Ох, извини, я наверное уже совсем впала в горе.	Oh, I'm sorry, I'm probably already completely overwhelmed with grief.
jelica_13_4	Я ходила за ракушками вниз, но когда вернулась, всё покрылось льдом!	I went down to pick up shells, but when I came back everything was covered in ice!
jelica_13_5	А мои дети остались в доме.	And my children remained in the house.
jelica_13_6	Я не знаю теперь как к ним добраться…	I don’t know how to get to them now…
jelica_13_7	Спасибо большое, дитя.	Thank you very much, child.
jelica_13_8	Как твоё имя?	What is your name?
jelica_13_9	Хорошее имя, меня звать Джелика.	Nice name, my name is Jelica.
jelica_13_10	Вон в том доме детки сейчас, если сможешь растопить лёд, то я отдам тебе все свои ракушки.	There are children in that house now, if you can melt the ice, then I will give you all my shells.
jelica_13_11	Это правда, спасибо тебе.	It's true, thank you.
jelica_13_12	Удачи!	Good luck!
jelica_14_0	Детишки-и-и-и!	Kids-e-e-e!
jelica_14_1	Простите, что я вас так оставила.	I'm sorry I left you like this.
jelica_14_2	Я больше никогда так не поступлю.	I will never do that again.
jelica_14_3	Да, но я же оставила их совсем одних.	Yes, but I left them all alone.
jelica_14_4	В любом случае, ты наш спаситель!	In any case, you are our savior!
jelica_14_5	Хорошая идея, {playerName}.	Good idea, {playerName}.
jelica_14_6	Детям действительно лучше побыть сейчас в тепле.	It really is better for children to stay warm now.
jelica_14_7	Финикс…	Finix…
jelica_14_8	Ох, бедная девочка, я помню, как учила ее раньше.	Oh, poor girl, I remember teaching her before.
jelica_14_9	Сейчас она уже выросла. Конечно я помогу.	She's all grown up now. Of course I'll help.
jelica_14_10	И ребятишки тоже подключатся.	And the kids will join in too.
jelica_14_11	Дети, поблагодарите {playerName} перед уходом!	Kids, thank {playerName} before you go!
jelica_119_0	О чём хочешь спросить, дитя?	What do you want to ask, child?
jelica_119_1	Да, спрашивай, что хочешь.	Yes, ask whatever you want.
jelica_119_2	Они были очень добрыми, но воспитывали хорошо.	They were very kind, but they raised us well.
jelica_119_3	Именно поэтому я сейчас сильна характером.	That's why I have a strong character now.
jelica_119_4	Они умерли от старости.	They died of old age.
jelica_119_5	Да, мы никогда не сможем этого понять, {playerName}.	Yes, we will never be able to understand this, {playerName}.
jelica_119_6	Но мы все живые, а это главное.	But we are all alive, and that is the main thing.
jelica_119_7	Хоть и у всех свои причуды.	Although everyone has their own quirks.
jelica_119_8	О-о-о, дитя, ты молодец!	Oh-oh-oh, child, you are great!
jelica_119_9	Мне было бы очень трудно без твоей помощи!	It would be very difficult for me without your help!
jelica_119_10	Стоит! Не преуменьшай свой вклад.	It's worth it! Don't downplay your contribution.
jelica_119_11	Вот, смотри, что у меня есть.	Here, look what I have.
jelica_120_0	Ох, дитя, здравствуй!	Oh, child, hello!
jelica_120_1	Я тут направлялась к дому родителей, они жили здесь.	I was heading to my parents' house, they lived here.
jelica_120_2	Сейчас уже лёд запер все подходы к нему.	Now the ice has blocked all approaches to it.
jelica_120_3	Я боюсь, что не попаду туда уже…	I'm afraid I won't get there anymore...
jelica_120_4	Это было бы здорово!	That would be great!
jelica_120_5	Хорошо, дитя, тогда до скорой встречи.	Okay, child, see you soon then.
jelica_121_0	Да, это их прошлый дом.	Yes, this is their previous home.
jelica_121_1	Ностальгия по детству…	Nostalgia for childhood…
jelica_121_2	Мне очень грустно осознавать, что это было так давно.	It makes me very sad to realize that it was so long ago.
jelica_121_3	И также печалит то, что дом нынче пустой.	And it’s also sad that the house is now empty.
jelica_121_4	Чтобы почтить память о родителях.	To honor the memory of parents.
jelica_121_5	Я бережно храню своё прошлое, но это почти единственное, что у меня осталось от них.	I carefully preserve my past, but it is almost the only thing I have left from them.
jelica_121_6	Я уже привыкла, {playerName}.	I'm already used to it, {playerName}.
jelica_121_7	Жизнь вынудила меня…	Life forced me...
jelica_121_8	Ох не знаю, сейчас детки в садике, так что я относительно свободна.	Oh, I don’t know, the kids are in kindergarten now, so I’m relatively free.
jelica_121_9	Хм, хорошо, слышала, тебе староста подарил дом.	Hmm, good, I heard the headman gave you a house.
jelica_122_0	Дети!	Children!
jelica_122_1	Ну где вы???	Well, where are you???
jelica_122_2	О-о-ох, что же делать…	Oh-oh-oh, what to do...
jelica_122_3	{playerName}, как же ты вовремя.	{playerName}, you came just in time.
jelica_122_4	Мои детки начали играть в прятки и я теперь их найти не могу.	My kids started playing hide and seek and now I can't find them.
jelica_122_5	Так хорошо спрятались, а выходить не хотят.	They hid so well, but they don’t want to come out.
jelica_122_6	Хорошо, спасибо!	OK, thank you!
jelica_122_7	Я тогда зайду к тебе, пока ты ищешь.	I'll come to you then while you're seeking.
