key	ru	en
octoboss_8_0	Где же он…	Where is he...
octoboss_8_1	Ой-ой-ой… а как же мои ракушки…	Oh-oh-oh... what about my shells...
octoboss_8_2	О, товарищ, не видели тут портфеля?	Oh, comrade, have you seen a briefcase here?
octoboss_8_3	Я, бизнесмен Октобосс, оставил его случайно на корпоративе.	I, businessman Octoboss, left it by accident at a corporate party.
octoboss_8_4	Ох и славное было времяпрепровождение.	Oh, what a wonderful time it was.
octoboss_8_5	Разговоры о ракушках, ракушках и конечно о… ракушках!	Talking about shells, shells and of course about... shells!
octoboss_8_6	Ооо, это было бы прекрасным совпадением, если бы вы нашли его.	Oh, it would be a wonderful coincidence if you found it.
octoboss_8_7	Корпоратив был в скрытой пещере, можете поискать там, товарищ.	The corporate party was in a hidden cave, you can look there, comrade.
octoboss_8_8	Я отблагодарю вас позже, даю слово бизнесмена.	I will thank you later, I give you my word as a businessman.
octoboss_9_0	Спасибо большое, товарищ!	Thank you very much, comrade!
octoboss_9_1	Вы меня очень-очень выручили.	You really helped me out.
octoboss_9_2	Товарищ!	Comrade!
octoboss_9_3	Кхм, я вообще-то важная шишка тут!	Hmm, I'm actually a big shot here!
octoboss_9_4	Хоть я и никогда не видел вас ранее, но я позволю вам меня обнять.	Even though I have never seen you before, I will let you hug me.
octoboss_9_5	Товарищ, рад был познакомиться, но…	Comrade, it was nice to meet you, but...
octoboss_9_6	Хм? Я слушаю.	Hm? I'm listening.
octoboss_9_7	Конечно! Взаимовыручка основа комм.. не важно.	Of course! Mutual assistance is the basis of com... it doesn't matter.
octoboss_9_8	Тем более у меня очень важные дела внизу!	Moreover, I have very important things to do downstairs!
octoboss_9_9	Так что до скорого, товарищ, я у вас в долгу.	So see you soon, comrade, I'm in your debt.
