key	ru	en
skyper_10_0	Ммм, как холодно тут, это именно то, что МНЕ НАДО!	Mmm, it's so cold in here, this is exactly what I NEED!
skyper_10_1	Блин, я же скоро так замерзну…	Damn, I'm going to freeze so much soon...
skyper_10_2	Опаньки! Это ещё что за существо?	Oops! What kind of creature is this?
skyper_10_3	А ты умеешь ГоВоРиТь???	Can you SpEaK???
skyper_10_4	Ох… это так грустно…	Oh... this is so sad...
skyper_10_5	Ой, я хотел сказать замечательно!	Oh, I meant to say wonderful!
skyper_10_6	Как тебя зовут, странненькое создание?	What is your name, strange creature?
skyper_10_7	Звучит трагично…	Sounds tragic...
skyper_10_8	Не забивай голову, это всё мои ПрИчУдЫ!	Don't worry about it, these are all my WHIMS!
skyper_10_9	О, чувствую от тебя очень сильное тепло, меня аж согрело!	Oh, I feel such strong warmth from you, it really warms me up!
skyper_10_10	У меня появилась идея: мы идём в приключение!	I had an idea: we're going on an adventure!
skyper_10_11	Меня кстати Скайпер зову-у-у-у-ут!	By the way, my name is Skyper!
skyper_11_0	А вот и ОН!	Here he is!
skyper_11_1	Кристалл, который МЫ С ТОБОЙ так давно хотели увидеть!!	The crystal that YOU AND I have wanted to see for so long!!
skyper_11_2	Ты посмотри какой он… страшный.	Look how... scary he is.
skyper_11_3	Всё, нет, я ухожу.	That's it, no, I'm leaving.
skyper_11_4	Прости.	I'm sorry.
skyper_11_5	О-о-о-о-о! Ты позволишь мне остаться?!	O-o-o-o-oh! Will you let me stay?!
skyper_11_6	Какой же ты ДОБРЫЙ!	How KIND you are!
skyper_11_7	Я не помешаю тебе, только ПоСмОтРю.	I won't bother you, I'll just WaTcH.
skyper_12_0	Это был так БОМБИЧЕСКИ!	It was so BOMB!
skyper_12_1	…	…
skyper_12_2	Твои способности действительно очень полезны…	Your abilities are really very useful…
skyper_12_3	Не то, что я, бездарь, который ничего не добился.	Not like me, a mediocrity that has achieved nothing.
skyper_12_4	Ох, {playerName}.	Oh, {playerName}.
skyper_12_5	Спасибо тебе большое…	Thank you so much…
skyper_12_6	Хорошо, сейчас же ПОПЛЫВУ ТУДА!	Okay, I'LL SWIM THERE RIGHT NOW!
skyper_12_7	Я рад, что познакомился с тобой, {playerName}!	I'm glad I met you, {playerName}!
