key	ru	en
cutscene_1_-5	Иногда нам приходится жертвовать чем-то ради других.	Sometimes we have to sacrifice something for others.
cutscene_1_-4	Но...	But...
cutscene_1_-3	Я не хочу видеть то, как мое дитя навсегда исчезнет…	I don't want to see my child disappear forever...
cutscene_1_-2	Прости, я не могу больше быть с тобой рядом.	I'm sorry, I can't be with you anymore.
cutscene_2_-5	Ты не помнишь меня.	You don't remember me.
cutscene_2_-4	Но ты был частью меня.	But you were a part of me.
cutscene_2_-3	Но я храню память в каждом своём осколке.	But I keep the memory in every fragment of me.
cutscene_2_-2	Я рада, что ты принес частичку моего тепла обитателям этой холодной планеты.	I'm glad that you brought a piece of my warmth to the inhabitants of this cold planet.
cutscene_2_-1	Ты заслужил лучшего!	You deserve better!
cutscene_2_0	Не стоит беспокоиться обо мне.	There is no need to worry about me.
cutscene_2_1	Ты должен жить ради них.	You must live for them.
cutscene_2_2	Прощай…	Goodbye…
