key	ru	en
Tertilus_0_43195ca2-6dbc-4991-b36c-e70ece6c53f8	Ого-го, у нас тут новенький!	Wow, we have a new guy here!
Tertilus_0_ecdb0049-33b2-4108-8cb1-0f804c3bc1bf	Как тебя звать?	What is your name?
Tertilus_0_c7da1713-713d-4347-8d0a-7957a1a12a80	Меня зовут <link=hlight+wave>Тертилус!</link>	My name is <link=hlight+wave>Tertilus!</link>
Tertilus_0_38394c72-5109-483e-9238-9a5da6ce70f8	Приятно познакомиться!	Nice to meet you!
Tertilus_0_e747fd76-dde5-4b05-843d-ad2ffe888e04	Кхм, ну немного.	Hmm, well, a little.
Tertilus_0_fdd5b939-9151-4910-b8e6-a3c2527f10a5	Я тут собирал ракушки, хо-хо, но слишком близко подплыл ко льду...	I was collecting shells here, ho-ho, but I swam too close to the ice...
Tertilus_0_8f930606-3f00-4347-988b-669a065354f3	Да не стои...	Don't stand there...
Tertilus_0_f8fc708e-876e-4cc7-83d3-ea997de81389	Ох...	Oh...
Tertilus_0_f9faed74-6c98-4abd-bc73-c2be202dff9f	И правда стало телпее, малец!	And it really has become warmer, kid!
Tertilus_0_30ba8f4d-fc26-4aa0-a1a6-5876538e8fc4	А всё же ракушки стоило бы собрать...	Still, it would be worth collecting the shells...
Tertilus_0_8f29270f-22e2-4b0e-9580-d3b28fbf3213	У нас они — очень ценный ресурс!	For us they are a very valuable resource!
Tertilus_0_0339f68f-185c-4002-83f7-92a873ebba3e	Ты можешь собрать, но оставь себе.	You can collect it, but keep it for yourself.
Tertilus_0_57bd8a90-0935-45fa-a705-72044c546f56	Во-о-он там впереди они есть, собери и возвращайся ко мне.	O-o-o-over there they are ahead, collect them and come back to me.
Tertilus_0_216dc49c-27ef-40ed-8151-807079d2a943	Охо-хо, конечно!	Oh-ho, of course!
Tertilus_0_d42181ed-b44b-4906-8aec-8c200e83f3e6	Ракушки у нас очень давно в обиходе.	Shells have been in our everyday life for a very long time.
Tertilus_0_3f4f2253-8439-4011-b061-d92913f94a68	Они добываются не самым простым способом, так ещё лёд усугубил всё.	They are not obtained in the easiest way, and the ice made everything even worse.
Tertilus_0_892bbaac-cbf2-4ee6-8be4-c9d09fb1a00a	Поэтому мы очень ценим этот ресурс и обмениваем ценные товары на него.	That's why we value this resource highly and exchange valuable goods for it.
Tertilus_0_720580da-86b4-423f-b758-843d6915a0b1	Тебе они явно нужнее, ты же новенький.	You clearly need them more, since you're new.
Tertilus_0_c9ad7885-e6ae-4cc4-89bf-c7ee5cf5ba70	Конечно.	Certainly.
