key	ru	en
play	Играть	Play
continue	Продолжить	Continue
settings	Настройки	Settings
saves	Сохранения	Saves
saving	Сохранение...	Saving...
exit	Выйти	Exit
shells	Ракушки	Shells
shards	Осколки	Shards
warmth	Теплота	Warmth
warming	Согревание	Warming
warming_desc	Растапливает лёд и сердца	Melts ice and hearts
resonance	Резонанс	Resonance
resonance_desc	Призывает дружелюбных рыбок	Summons friendly fish
metabolism	Метаболизм	Metabolism
metabolism_desc	Позволяет видеть секреты	Allows you to see secrets
dash	Дэш	Dash
dash_desc	Ускоряет и разрушает всё на своём пути	Accelerates and destroys everything in its path
graphics	Графика	Graphics
audio	Аудио	Audio
language	Язык	Language
main_sound	Общий	General
music	Музыка	Music
sfx	Эффекты	Effects
quality	Качество	Quality
fullscreen	Полный экран	Full screen
from_auto_save	С автосохранения	From autosave
load	Загрузить	Load
delete	Удалить	Delete
confirm_all	Подтвердить всё	Confirm all
tertilus	Тертилус	Tertilus
finix	Финикс	Finix
octoboss	Октобосс	Octoboss
skyper	Скайпер	Skyper
jelica	Джелика	Jelica
player	{playerName}	{playerName}
